# The drop-in corpus: real pandoc command lines, with their source.
# See README.md in this directory. Tab-separated; %IN% and %OUT% are
# substituted by scripts/dropin.sh.
#id	source	input	args	changed	verbatim
dropin-013	MichielDerhaeg/build-linux:Makefile	corpus/readme-style.md	-f markdown -t html5 %IN% -o %OUT%.html -H dropin/assets/header.html -B dropin/assets/before.html -A dropin/assets/after.html	-	pandoc -f markdown -t html5 README.md -o doc/doc.html -H doc/header-css.html -B doc/begin-div.html -A doc/end-div.html
dropin-014	srciaga/pandoc-pages:action.yml	corpus/headings.md	--standalone --template dropin/assets/template.html %IN% -o %OUT%.html	-	pandoc --standalone --template "assets/template.html" "assets/index.md" -o "public/index.html"
dropin-015	Security-Industry-Association/libosdp-conformance:doc/Makefile	corpus/headings-deep.md	--toc -s -o %OUT%.html %IN%	target pdf -> html, and -s added, which pandoc requires for --toc	pandoc --toc -o libosdp-conformance-commands.pdf doc-src/libosdp-conformance-commands.md
dropin-016	yakimka/python_interview_questions:Makefile	corpus/headings-deep.md	--toc --toc-depth=6 -s -o %OUT%.html %IN%	target epub -> html, one input document instead of two, -s added	pandoc --toc --toc-depth=6 -o questions.epub metadata.txt questions.md
dropin-017	counteractive/incident-response-plan-template:Makefile	corpus/headings.md	--toc --toc-depth=3 --standalone --metadata-file=dropin/assets/meta.yaml --output=%OUT%.html %IN%	target docx -> html	pandoc --toc --toc-depth=3 --standalone --metadata-file=build/_pandoc.yml --output=public/plan.docx public/plan.md
dropin-018	keyvank/tsp:Makefile	corpus/headings.md	--toc -s --output=%OUT%.html %IN% --metadata title="The Super Programmer"	target pdf -> html, one document instead of a glob, -s added	pandoc --toc --output=main.pdf *.md --metadata title="The Super Programmer"
dropin-019	git-moss/ConvertWithMoss:.github/workflows/maven-publish.yml	corpus/headings-deep.md	--standalone --toc --number-sections --output=%OUT%.html %IN%	target pdf -> html; -V geometry dropped with it	pandoc --standalone --toc -V geometry:margin=2.5cm --number-sections --output=output/ConvertWithMoss-Manual.pdf ConvertWithMoss-Manual.md
dropin-020	ThioJoe/Browser-Based-Tools:.github/workflows/deploy.yml	corpus/readme-style.md	--standalone --metadata pagetitle="Home" -M linkcolor="#007bff" -f markdown -t html -o %OUT%.html %IN%	-	pandoc --standalone --metadata pagetitle="Home" -M linkcolor="#007bff" -M mainfont="sans-serif" -f markdown -t html -o index.html README.md
dropin-021	alevy/postgresql-orm:man/Makefile	corpus/headings.md	-s -o %OUT%.html -t html -V title=pg_migrate -V section=1 %IN%	target man -> html	pandoc -s -o man1/pg_migrate.1 -t man -V title=pg_migrate -V section=1 man1/pg_migrate.1.markdown
dropin-022	FOSDEM/video:instructions/sources/Makefile	corpus/nested-structures.md	-f markdown -t latex --variable papersize=a4paper --variable classoption=twocolumn -o %OUT%.tex %IN%	target pdf -> latex; the third --variable dropped with the column count	pandoc -f markdown -t latex --variable papersize=a4paper --variable classoption=twocolumn --variable columns=2 -o instructions.pdf instructions.md
dropin-023	sswam/allemande:www/pandoc_dump.sh	samples/inputs/page.html	--wrap=none -f html -t markdown %IN%	-	pandoc --wrap=none -f html -t markdown
dropin-024	monzool/A-Search-for-BASH-Scripting-Alternatives:Take2/convert_to_html.sh	corpus/code-and-raw.md	--wrap=none %IN% -o %OUT%.html	--no-highlight dropped: pandoc's own default here is no highlighting	pandoc --wrap=none --no-highlight Take2.md -o Take2.html
dropin-025	edunumsec2/book:src/ens/archi/support/SysLogiques/generate.sh	corpus/readme-style.md	--wrap=preserve -s %IN% -o %OUT%.md	input .tex -> .md (no LaTeX reader)	pandoc --wrap=preserve -s main.tex -o main.md
dropin-026	RoboJackets/constitution:publish.sh	corpus/nested-structures.md	--wrap=none --to=markdown_github -s %IN% -o %OUT%.md	input .tex -> .md (no LaTeX reader)	pandoc --wrap=none --to=markdown_github -s src/SGA_Constitution.tex -o pub/SGA_Constitution.md
dropin-027	pipetcpt/pharmapk:docx/_pandoc.sh	corpus/docx/anchors-and-notes.docx	--extract-media %OUT%.media -s %IN% -t markdown -o %OUT%.md	-	pandoc --extract-media ./ -s "05-1.docx" -t markdown -o 05-1.md
dropin-028	qtfkwk/stylin:Makefile.md	corpus/readme-style.md	--reference-doc=dropin/assets/reference.docx %IN% -o %OUT%.docx	reference doc generated by pandoc into assets/	pandoc --reference-doc=reference.docx {0} -o {target}
dropin-029	dylan-k/panscribe:defaults/chapbook-manuscript.yml	corpus/headings.md	--defaults=dropin/assets/defaults.yaml %IN% -o %OUT%.html	target pdf -> html; defaults file replaced by assets/defaults.yaml	pandoc --defaults=chapbook-manuscript.yml input.md -o output.pdf
dropin-030	wizard7377/constitution:.github/workflows/build-and-deploy.yml	corpus/headings.md	--defaults=dropin/assets/defaults.yaml -t markdown -o %OUT%.md %IN%	defaults file replaced by assets/defaults.yaml	pandoc --defaults=DEFAULTS.yaml -t markdown -o output/constitution.md
dropin-031	LCTT/lctt-scripts:parse_url_by_manual.sh	samples/inputs/page.html	-t html -f html %IN%	-	pandoc -t html -f html
dropin-032	auto-complete/auto-complete:Makefile	corpus/readme-style.md	--standalone --to html --output %OUT%.html %IN%	-	pandoc --standalone --to html --output $@ $^
dropin-033	xiph/flac:man/Makefile.am	corpus/headings.md	--standalone --to plain %IN%	target man -> plain	pandoc --standalone --to man $? > $@
dropin-034	alexkay/spek:Makefile.am	corpus/headings.md	--standalone --to=html --output=%OUT%.html %IN%	-	pandoc --standalone --to=html --output=web/man-@VERSION@.html MANUAL.md
dropin-035	jonashackt/pulumi-talk:.travis.yml	corpus/readme-style.md	--standalone -t html -o %OUT%.html %IN% -V theme=white	target revealjs -> html; -V revealjs-url dropped with it	pandoc --standalone -t revealjs -o docs/index.html presentation.md -V revealjs-url=https://revealjs.com -V theme=white
dropin-036	stevana/armstrong-distributed-systems:talks/zurihac-2023/Makefile	corpus/headings.md	--from markdown --to latex -o %OUT%.tex %IN%	target beamer -> latex	pandoc --from markdown --to beamer -o slides_stevan.pdf slides_stevan.md
dropin-037	google/google-authenticator-libpam:Makefile.am	corpus/headings.md	--standalone --to plain %IN%	target man -> plain	(cd man && pandoc --standalone --to man google-authenticator.1.md > google-authenticator.1)
dropin-038	trypsynth/paperback:.github/workflows/site.yml	corpus/readme-style.md	--defaults=dropin/assets/defaults.yaml %IN% -o %OUT%.html	defaults file replaced by assets/defaults.yaml	pandoc --defaults=doc/pandoc.yaml doc/readme.md -o readme.html
dropin-039	dylan-k/panscribe:defaults/story.yml	corpus/edge-cases.md	--defaults=dropin/assets/defaults.yaml %IN% -o %OUT%.html	target pdf -> html; defaults file replaced by assets/defaults.yaml	pandoc --defaults=story.yml "stories/Zachary.md" -o "Zachary.pdf"
dropin-040	MattiasTelia/MattiasTelia.github.io:.github/workflows/release.yml	corpus/truncation-cases.md	--defaults=dropin/assets/defaults.yaml %IN% -o %OUT%.html	defaults file replaced by assets/defaults.yaml	pandoc --defaults=release_notes.yaml
dropin-041	MusEl-ConsAq/GRDM-CODM05_II-COME04:.github/workflows/assembla_doc_template.yml	corpus/readme-style.md	--defaults dropin/assets/defaults.yaml %IN% -o %OUT%.html	defaults file replaced by assets/defaults.yaml	pandoc --defaults styles/defaults.yml README.md -o "$PDF_NAME"
dropin-042	leenamurgai/pandoc-conversion:pandoc/options.yml	corpus/images.md	--defaults dropin/assets/defaults.yaml %IN% -o %OUT%.html	defaults file replaced by assets/defaults.yaml	pandoc --defaults pandoc/options.yml
dropin-043	OasisLMF/ktools:docs/md/Makefile	corpus/gfm/tables.gfm	--from markdown_github --to html --standalone %IN%	input is a GFM table fixture rather than the repo's own	pandoc --from markdown_github --to html --standalone
dropin-044	sswam/allemande:www/pandoc_dump.sh	samples/inputs/attributes.html	--wrap=none -f html -t markdown %IN%	-	pandoc --wrap=none -f html -t markdown
dropin-045	pipetcpt/pharmapk:docx/_pandoc.sh	corpus/odt/corpus-code-and-raw.odt	--extract-media %OUT%.media -s %IN% -t markdown -o %OUT%.md	-	pandoc --extract-media ./ -s "05-1.docx" -t markdown -o 05-1.md
dropin-046	alexei-kouprianov/COVID-19.SPb.monitoring:report.sh	corpus/epub/anchors-and-notes.epub	-t html %IN% -o %OUT%.html	-	pandoc -t html texts/SPb.COVID-19.data_critique.md -o texts/SPb.COVID-19.data_critique.html
dropin-047	GaloisInc/hacrypto:demonstrations/Makefile	corpus/pandoc-markdown/notes.pmd	-f markdown -t latex -o %OUT%.tex %IN%	input is the pandoc-markdown fixture; target pdf -> latex	pandoc -f markdown -t latex -o readme.pdf readme.md
dropin-048	markruys/gw2pvo:Makefile	corpus/nested-structures.md	--from markdown --to rst --output=%OUT%.rst %IN%	-	pandoc --from markdown --to rst --output=README.rst README.md
